"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1816";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Gymnaziálna 197";"Kláštor pod Znievom";"03843";"6,27095108032227";;"7,58024291992187";"7,88016052246094";"7,28032531738281";;"0";;"8,85561447143555";;;"4,53112983703613";"6,99137344360352"
"1817";"ilinskı";"Martin";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Gymnaziálna è. 197";"Kláštor pod Znievom";"03843";;;;;;;;;;;;;
"1818";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ostrovná 1";"Košany nad Turcom";"03841";"4,87437286376953";;"5,84535064697266";"5,81999626159668";"5,87070503234863";;"0";;"9,07948913574219";;;"2,49829578399658";"5,61385917663574"
"1819";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 1";"Krpe¾any";"03854";"5,39848136901855";;"6,66910705566406";"6,46952819824219";"6,86868591308594";;"0";;;;;"4,87324485778809";"4,77900390625"
"1820";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola int.";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola i.";"Školská 141";"Krpe¾any";"03854";;;;;;;;;;;;;
"1821";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Aurela Stodolu 60";"Martin";"03601";"5,81961822509766";;"7,01951675415039";"6,94283065795898";"7,0962028503418";;"0";;"8,63052673339844";;;"2,58817558288574";"7,94612503051758"
"1822";"ilinskı";"Martin";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Bernolákova 2";"Martin";"03637";"4,62769393920898";"7,14473266601563";;"0";"8,23937225341797";"6,03365707397461";"4,28357391357422";"2,68288688659668";;;"8,57371139526367";"3,70970230102539";"5,81390724182129"
"1824";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Alexandra Dubèeka";"Budovate¾ov 9";"Martin";"03601";"8,41198577880859";;"8,315380859375";"8,45783233642578";"8,17292861938477";;"7,56376037597656";;"8,27484283447266";;;"3,65770645141602";"7,02244567871094"
"1825";"ilinskı";"Martin";"Samosprávny kraj";"SOŠ strojnícka";"Slovenskı";"Stredná odborná škola";"Spojená škola-SOŠ stroj";"Èervenej armády 25";"Martin";"03601";"4,64535903930664";"3,00759944915771";;"0,707260608673096";"3,4929630279541";"2,64547386169434";"2,2574649810791";"6,43314514160156";"5,70327758789062";;"3,69481201171875";"2,33491249084473";"4,85180587768555"
"1826";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Gorkého 33";"Martin";"03601";"5,8675479888916";;"6,00847091674805";"6,6960823059082";"5,32085952758789";;"3,04481658935547";;"7,10976028442383";;;"3,52852935791016";"6,92492523193359"
"1827";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hurbanova 27";"Martin";"03601";"6,67817077636719";;"7,97363586425781";"7,99316940307617";"7,95410232543945";;"0,588880300521851";;"8,23188552856445";;;"3,14820919036865";"7,75383453369141"
"1828";"ilinskı";"Martin";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Hviezdoslavova 21";"Martin";"03601";;;;;;;;;;;;;
"1829";"ilinskı";"Martin";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Jozefa Lettricha";"Jozefa Lettricha 2";"Martin";"03601";"7,40492248535156";"8,824755859375";;"7,27929229736328";"9,05010986328125";"9,0888916015625";"3,26720237731934";"6,47995529174805";;;"3,4362377166748";"2,37696743011475";"7,61882629394531"
"1831";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jahodnícka 1";"Martin";"03601";"6,19946060180664";;"7,3295539855957";"7,78956298828125";"6,86954498291016";;"1,04536228179932";;"6,69943923950195";;;"3,13944492340088";"7,63309478759766"
"1832";"ilinskı";"Martin";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jahodnícka 1";"Martin";"03601";;;;;;;;;;;;;
"1833";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jozefa Kronera 25";"Martin";"03601";"5,73042488098145";;"7,40284881591797";"8,05243911743164";"6,7532585144043";;"0";;"7,34948883056641";;;"3,7563793182373";"7,6390998840332"
"1834";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"ZŠ pri zdravotníckom zariadení";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠ pri ZZ";"Kollárova 2";"Martin";"03601";;;;;;;;;;;;;
"1835";"ilinskı";"Martin";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"Stredná priemysel.škola";"L. Novomeského 24";"Martin";"03636";"6,36392478942871";"7,32127914428711";;"6,36321678161621";"8,2393424987793";"6,50139083862305";"3,92366905212402";"6,08609275817871";;;"8,09296569824219";"3,27671775817871";"5,55903625488281"
"1836";"ilinskı";"Martin";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"M.R.Štefánika 17";"Martin";"03601";"8,119921875";;"7,01168060302734";"6,82371444702148";"7,19964752197266";;"9,8981071472168";;"8,68948211669922";;;;
"1837";"ilinskı";"Martin";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium V.Paulinyho T";"Malá hora 3";"Martin";"03601";"5,56417198181152";"6,53473052978516";;"6,71224670410156";"6,41101989746094";"6,60733795166016";"1,52279644012451";"5,65965728759766";"6,11483840942383";;"5,96054840087891";"2,46655807495117";"7,40459518432617"
"1838";"ilinskı";"Martin";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"P. Mudroòa 3";"Martin";"03601";"7,17132873535156";;"9,31610107421875";"8,68469696044922";"9,94750595092773";;"0";;"8,08332061767578";;;"2,62289962768555";"7,30287933349609"
"1839";"ilinskı";"Martin";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"Praktická škola";"P. Mudroòa 46";"Martin";"03601";;;;;;;"0";;;;;"10";
