"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"21";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";;;;;;;;;;;"94,8397";"85,8564";;;"100";"90,0752";"89,3985";;;;;;;;;;;;;"25,4921";;;;
"22";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";;;;;;;;;;;;;;;"85,7143";"78,4962";"51,8045";;;;;;;;;;;;;"72,9717";;;;
"23";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91,7582";;;;
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,86813";;;;
"25";"Bratislavskı";"Bratislava I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0,549451";;;;
"26";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;"98,0453";"99,076";;;"80,9023";"67,7444";"73,985";;;;;;;;;;;;;"9,3615";;;;
"27";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";"85,7143";;;;"85,7143";"28,5714";;"0";;;;;;;;;;;;;;;;;;;;;;"13,3333";;;;
"28";"Bratislavskı";"Bratislava I";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"93,9015";"91,4712";;;;;;;;;;;;;;;;;;"58,8094";;;;
"29";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"9,15842";;;;"43,7956";;;;;;;;;;;;;;;;;;;;;;;;;"8,48624";;;;
"30";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"SOŠ geodetická";"Slovenskı";"Stredná odborná škola";"SOŠ geodetická";"Vazovova 14";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vazovova 4";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;"81,7826";"92,5373";;;;;;;;;;;;;;;;;;"6,48104";;;;
"32";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Vazovova 6";"Bratislava - Staré Mesto";"81107";"47,3171";"65,1741";;;;"87";;;"71,6981";;;;;;"91,2698";"96,0317";"70,6349";;;;;;;;;;;;;"39,6396";;;;
