"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"997";"Trenèiansky";"Prievidza";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ Xoana";"J. Pauleho 2/4/324";"Prievidza";"97101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2,84091";;;;
"998";"Trenèiansky";"Prievidza";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola";"¼. Ondrejova 28";"Prievidza";"97101";;;;;;;;;;;;;;;"41,6667";"57,5342";"71,6257";;;;;;;;;;;;;;;;;
"1000";"Trenèiansky";"Prievidza";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"M. Rázusa 4";"Prievidza";"97101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1001";"Trenèiansky";"Prievidza";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Malonecpalská 37";"Prievidza";"97101";;;;;;;;;;;"67,1";"58,9";;;"96,748";"86,1111";"84,4444";;;;;;;;;;;;;;;;;
"1003";"Trenèiansky";"Prievidza";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mariánska 19";"Prievidza";"97101";;;;;;;;;;;"70,8";"69,5";;;"87,8049";"97,2603";"84,1929";;;;;;;;;;;;;"7,22222";;;;
"1004";"Trenèiansky";"Prievidza";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnáz.V.B.Nedoerského";"Matice slovenskej 16";"Prievidza";"97101";"68,1";"59,7";;;;"64,7";;;"68,9";;;;;;"81,8898";"79,4521";"84,8067";;;;;;;;;;;;;"7,7325";;;;
"1005";"Trenèiansky";"Prievidza";"Samosprávny kraj";"SOŠ obchodu a sluieb";"Slovenskı";"Stredná odborná škola";"SOŠ  obchodu a sluieb";"Nábr. J. Kalinèiaka 1";"Prievidza";"97101";"46,9";;;;"50,2";"78,3";;"41,3";;;;;;;;;;;;;;;;;;;;;;"11,4856";;;;
"1006";"Trenèiansky";"Prievidza";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"Praktická škola pri OU";"Nábr. J. Kalinèiaka 4";"Prievidza";"97101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"20";;;;
"1007";"Trenèiansky";"Prievidza";"Krajskı úrad, Okresnı úrad";"Odborné uèilište";"Slovenskı";"Špeciálna stredná škola";"Odborné uèilište";"Nábr. J. Kalinèiaka 4";"Prievidza";"97101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"26,3158";;;;
"1008";"Trenèiansky";"Prievidza";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"P. Dobšinského 5";"Prievidza";"97101";;;;;;;;;;;"57,3";"45,2";;;"84,09";"84";"71,07";;;;;;;;;;;;;"7,14286";;;;
