"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_NJB1";"Mat_NJB2";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"13";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";;;;;;;;;"53,1";"42,5";;;;;;;;;;;;;"0";;;;;"12,1569";"64,5161";;;
"14";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"76,5";"53,5";;;;"73,7";;"78,1";;;;;"92,9134";"90,411";"82,48";;;;;;;;"3,36538";;;;;"9,13461";"65,7895";;;
"16";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;;;;;;;;;;;;;"0";;;;;"6,54545";;;;
"17";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ s MŠ";"Karpatská 1";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;;;;;;;;;;;;;"0";;;;;"21,3115";"61,5385";;;
"18";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mudroòova 83";"Bratislava - Staré Mesto";"81103";;;;;;;;;"65,6";"74,3";;;"72,75";"71,5";"89,5";;;;;;;;"0";;;;;"7,2165";"77,1429";;;
"20";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Sv. Uršule";"Nedbalova 6";"Bratislava - Staré Mesto";"81101";"64,3";"36,7";;;;"69,2";;"78,8";;;;;;;;;;;;;;;"2,32558";;;;;"9,68992";"32";;;
"21";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";;;;;;;;;"77,1";"73,9";;;"100";"95,8333";"88,2353";;;;;;;;"0";;;;;"8,57143";"89,7436";;;
"22";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";;;;;;;;;;;;;"96,3855";"89,7436";"77,6644";;;;;;;;"7,92079";;;;;"11,8812";"58,3333";;;
"23";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;"0";;;;;"7,41301";;;;
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;"0";;;;;"2,08333";;;;
