"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1238";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Saratovská 85";"Levice";"93405";"7,47127914428711";;"7,72060394287109";"7,9674430847168";"7,47376556396484";;"5,43341751098633";;"9,03818893432617";"10";;"2,45429878234863";"6,92983322143555"
"1239";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"KSŠ - ZŠ s MŠ";"Saratovská 87";"Levice";"93405";"8,48207550048828";;"7,84014587402344";"7,92561492919922";"7,7546760559082";;"10";;"8,30289688110352";"0";;"4,18734321594238";
"1240";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"KSŠ - Gymnázium";"Saratovská 87";"Levice";"93405";"4,36336135864258";"4,52274017333984";;"4,05432662963867";"6,23547096252441";"2,88260650634766";"8,3732551574707";"1,57491579055786";"2,547336769104";"5";"8,5639030456543";"5,29726219177246";"0"
"1241";"Nitriansky";"Levice";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná ZŠ T. Smaragd";"SNP 26";"Levice";"93401";;;;;;;"0";;;"0";;"8,56033554077148";"7,04088439941406"
"1242";"Nitriansky";"Levice";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium T.Smaragd";"SNP 26";"Levice";"93401";;;;;;;"0";;;"0";;"9,13527145385742";"2,66666660308838"
"1243";"Nitriansky";"Levice";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Sv. Michala 36";"Levice";"93480";"3,70673408508301";"2,80559463500977";;"0";"2,84911041259766";"2,75705032348633";"0,472409105300903";"5,07451057434082";;"5";"1,324889087677";"3,49153633117676";"4,32115783691406"
"1244";"Nitriansky";"Levice";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Maïarskı";"Gymnázium";"Cirkevné gymnázium VJM";"Sv. Michala 38";"Levice";"93401";"5,4021556854248";"5,86219520568848";;"4,214599609375";"4,92183303833008";"7,05669021606445";"3,82550354003906";"5,24405212402344";"3,88837814331055";"5";;"9,21948165893555";"4,30746574401855"
"1245";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Sv. Michala 42";"Levice";"93401";"5,47731781005859";;"6,47376022338867";"6,68534851074219";"6,26643218994141";;"0";;"5,56463203430176";"3,33333320617676";;"3,70937042236328";"6,19098510742188"
"1246";"Nitriansky";"Levice";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 14";"Levice";"93401";"7,41870346069336";;"8,85946884155273";"9,2817985534668";"8,44787673950195";;"1,06016139984131";;"7,35887756347656";"10";;"4,49246215820312";"7,31016235351562"
"1247";"Nitriansky";"Levice";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná umelecká škola Ladislava Bielika";"Vajanského 23";"Levice";"93403";"5,50807037353516";"6,14776458740234";;"4,70588226318359";"6,16751251220703";"6,13433723449707";"3,28915100097656";"5,44009895324707";;"0";"3,95701789855957";"5,36688385009766";"3,28184852600098"
